id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique;Type commande;supplier.is_central;Fournisseur centrale
c068dfcb-02fe-4d0d-8a27-9e8963465bb5;110;;22513636;CMD LD BAZAR DU17/02/2026;;;17/02/2026 14:31:51;17/02/2026;17/02/2026 14:35:20;;;en attente de livraison;mtano;mtano;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
30180712-ad24-4055-a3c7-bf9ae187688b;110;;14701779;CMD LD BAZAR DU17/02/2026;;;17/02/2026 14:18:06;17/02/2026;17/02/2026 14:31:20;;;en attente de livraison;mtano;mtano;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
792508fa-9a89-41e9-9026-8b621ba8854d;110;;19149031;CMD LC DPH;;;17/02/2026 12:52:13;17/02/2026;17/02/2026 12:54:31;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
df17dab1-f6b6-4737-b69f-3b560d19fa49;110;;41240885;CMD LC DPH;;;17/02/2026 12:49:05;17/02/2026;17/02/2026 12:51:34;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
d3231aed-4049-4cc3-8cf8-61c41bbad492;110;;74273611;CMD LC EPICERIE 17/02/2026;;;17/02/2026 12:29:20;17/02/2026;17/02/2026 12:43:05;;;en attente de livraison;kskonan;kskonan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
ff85645f-91e8-4af4-a4e7-7ce9d443f105;110;;23937428;CMD LC DPH;;;17/02/2026 11:06:31;17/02/2026;17/02/2026 11:27:35;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
caabe6c8-1326-409d-8a5c-51e1d2d65a75;110;;22332733;CMD LC EPICERIE;;;17/02/2026 11:00:02;17/02/2026;17/02/2026 11:07:10;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
04be0d66-6ecf-4acf-9095-6d7e76c728c0;110;;21702235;CMD LC VIENNOISERIE;;;17/02/2026 10:56:42;17/02/2026;17/02/2026 10:58:50;;;en attente de livraison;ndrfanoh;ndrfanoh;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
9d9b6033-4f16-488c-b66f-b8e30a585992;110;;26055570;CMD LC EPICERIE;;;17/02/2026 10:46:40;17/02/2026;17/02/2026 11:00:53;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
048c8f6c-5ba6-42b7-916a-d5839d043515;110;;60670658;CMD LC F/L;;;17/02/2026 10:34:45;17/02/2026;17/02/2026 10:38:11;;;en attente de livraison;yagnongbo;yagnongbo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
625f5aeb-1b2c-4371-b249-2841abc33f1c;110;;26127227;CMD LC LIQUIDE;;;17/02/2026 10:34:24;17/02/2026;17/02/2026 10:47:23;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
2ef1daa7-17f6-4c00-b7e5-871ee72048a9;110;;21816946;CMD LC SURGELE;;;17/02/2026 10:26:00;17/02/2026;17/02/2026 10:35:20;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
3c0f4796-8d2f-45df-bb4c-d596bba1e4ec;110;;14650052;CMD LC CREMERIE LS;;;17/02/2026 10:23:32;17/02/2026;17/02/2026 10:26:54;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
e8ae27db-785b-4a96-8a84-b77814fe63a1;110;;17864170;CMD LC CHARCUTERIE LS;;;17/02/2026 10:21:13;17/02/2026;17/02/2026 10:24:26;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
d5d0dee9-9410-426c-bdf9-fa3390cb6349;110;;34027445;CMD LC FRUITS & LEGUMES;;;17/02/2026 10:08:21;17/02/2026;17/02/2026 10:22:09;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
6746c01c-4492-4cb1-87bb-622628abb069;110;;27120219;CMD LC EPICERIE 17/02/2026;;;17/02/2026 09:52:02;17/02/2026;17/02/2026 09:54:17;;;en attente de livraison;fyeo;fyeo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
82d1c353-826c-46c5-9796-879b420971c4;110;;32726910;CMD LC DPHE;;;17/02/2026 09:13:48;17/02/2026;17/02/2026 09:17:33;;;en attente de livraison;ndrfanoh;ndrfanoh;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
bc2f98ca-c7fb-4275-a189-8567a31e4366;110;;22183049;CMD LC PATIS;;;17/02/2026 09:11:01;17/02/2026;17/02/2026 09:20:07;;;en attente de livraison;ajbrindou;ajbrindou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
