id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique;Type commande;supplier.is_central;Fournisseur centrale
67be5fef-a76d-426e-8763-cf2cb6afc469;110;;25142527;CMC LC CHARCUTERIE  21/12/2025;;;21/12/2025 10:38:19;21/12/2025;21/12/2025 10:52:08;;;en attente de livraison;slogrohouan;slogrohouan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
c19eafb8-eb28-4535-846d-b258e2d207bf;110;;16332901;CMD LC CHARCUTERIE  21/12/2025;;;21/12/2025 10:23:22;21/12/2025;21/12/2025 10:38:20;;;en attente de livraison;slogrohouan;slogrohouan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
8c7da27e-ce8e-43bc-a171-7cc6fe3746d1;110;;43404079;CMD LC FGX DU 20/12/2025;;;20/12/2025 13:20:02;20/12/2025;20/12/2025 13:23:55;;;en attente de livraison;aassale;aassale;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
6a367b9a-2e3d-4f50-a499-2c78a850ecbd;110;;20911046;;;;20/12/2025 10:36:24;20/12/2025;20/12/2025 11:00:01;;;en attente de livraison;;lasdoua;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
bcf16cbf-e2f2-41ab-9101-b6d89fcaeadb;110;;30356075;CMDE LC CREMERIE;;;20/12/2025 10:31:58;20/12/2025;20/12/2025 10:40:25;;;en attente de livraison;jnzue;jnzue;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
5efd0ff9-4f63-4936-93bf-022580f0c4a3;110;;12869175;;;;20/12/2025 10:25:42;20/12/2025;20/12/2025 10:34:59;;;en attente de livraison;;lasdoua;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
0a22085f-b28b-4f4b-8403-5990e9018b9e;110;;22820577;CMD LC F/L;;;20/12/2025 10:01:06;20/12/2025;20/12/2025 10:03:30;;;en attente de livraison;ALOUI.BORIS-ARNAUD;ALOUI.BORIS-ARNAUD;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
31a619c8-6447-408c-b392-c592f3ed7d89;110;;18500857;CMD LC F/L;;;20/12/2025 09:39:31;20/12/2025;20/12/2025 09:59:36;;;en attente de livraison;ALOUI.BORIS-ARNAUD;ALOUI.BORIS-ARNAUD;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
33effd33-8197-49ab-9a47-1703a1f76ddb;110;;23792573;;;;20/12/2025 08:44:11;20/12/2025;20/12/2025 08:50:38;;;en attente de livraison;kkoffi;kkoffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
aebbc7a1-b15f-43b0-aa6b-807a71ffcc2b;110;;94939442;CMD LC FL DU 20/12/25;;;20/12/2025 08:41:17;20/12/2025;20/12/2025 08:44:25;;;en attente de livraison;aassale;aassale;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
6a716956-6c2b-4ace-ac1a-ed266dde8fe0;110;;32761227;;;;20/12/2025 08:16:41;20/12/2025;20/12/2025 08:29:45;;;en attente de livraison;meoulai;meoulai;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
