id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique;Type commande;supplier.is_central;Fournisseur centrale
934d1e3c-1460-429a-9708-6788cd916da3;110;;27954206;CMD LC DPHE;;;17/03/2026 14:25:55;17/03/2026;17/03/2026 14:30:46;;;en attente de livraison;jnzue;jnzue;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
97dbe9d0-c9bd-49f4-944f-2211833e193a;110;;20713155;CMD LC EPICERIE;;;17/03/2026 13:44:50;17/03/2026;17/03/2026 13:48:00;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
1b6ab5b3-4c01-4dcd-bd55-88558ed1eb01;110;;46621621;CMD LC DPHE;;;17/03/2026 13:30:06;17/03/2026;17/03/2026 13:32:10;;;en attente de livraison;jnzue;jnzue;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
120e6e36-47e4-4d53-9baa-d99994aa6f35;110;;26278139;CMD LC EPICE;;;17/03/2026 13:01:00;17/03/2026;17/03/2026 13:07:46;;;en attente de livraison;ajbrindou;ajbrindou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
3a938fba-43a1-4bc1-a543-940f5cf3920c;110;;11695312;CMD LC EPICE;;;17/03/2026 12:05:17;17/03/2026;17/03/2026 12:09:38;;;en attente de livraison;ajbrindou;ajbrindou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
1e0b726a-55cb-4335-86d2-1d7f07406cdb;110;;94605480;CMD LC BIERE;;;17/03/2026 11:51:18;17/03/2026;17/03/2026 11:55:26;;;en attente de livraison;ajbrindou;ajbrindou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
2b2f5586-b51c-4b60-b793-85031d3a8614;110;;17685104;CMD LC DPH;;;17/03/2026 11:47:04;17/03/2026;17/03/2026 11:49:13;;;en attente de livraison;ALOUI.BORIS-ARNAUD;ALOUI.BORIS-ARNAUD;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
ff27ce77-127b-4d72-85e0-e29ab49066de;110;;24366351;CMD LC VIN;;;17/03/2026 11:46:36;17/03/2026;17/03/2026 11:52:09;;;en attente de livraison;ajbrindou;ajbrindou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
9aa2d75d-2983-4162-aa31-5b5ac4f5498f;110;;32207453;CMD LC EAU;;;17/03/2026 11:37:02;17/03/2026;17/03/2026 11:47:34;;;en attente de livraison;ajbrindou;ajbrindou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
1d7c48d2-988b-4979-bd40-667f9f3492a5;110;;13033485;CMD LC LIQUIDE;;;17/03/2026 11:12:41;17/03/2026;17/03/2026 11:26:14;;;en attente de livraison;ajbrindou;ajbrindou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
