id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique;Type commande;supplier.is_central;Fournisseur centrale
ecb1284f-2eef-4d58-980e-2b0b8a4b4118;230;;45950954;EMBALLAGE CENTRALE;;;25/01/2026 07:21:37;26/01/2026;25/01/2026 07:22:53;;;en attente de livraison;KKONAN;KKONAN;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
72e28104-d0f7-4615-9f47-394f7b3e60a1;230;;78907893;LIQUIDE CENTRALE;;;24/01/2026 18:04:33;25/01/2026;24/01/2026 18:06:36;;;en attente de livraison;RAssemian;RAssemian;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
3da689a2-9cf7-47c3-b09b-1d8d2993738d;230;;29489968;LIQUIDE CENTRALE;;;24/01/2026 15:56:19;25/01/2026;24/01/2026 15:58:29;;;en attente de livraison;RAssemian;RAssemian;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
91d91ea2-7437-4730-b768-e3165db0c530;230;;33608510;EPICERIE CENTRALE;;;24/01/2026 13:17:58;25/01/2026;24/01/2026 13:32:28;;;en attente de livraison;BTOURE;BTOURE;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
ba7820bd-00a9-4f35-9ba5-93960e273ab3;230;;18084320;LIQUIDE CENTRALE;;;24/01/2026 12:57:58;25/01/2026;24/01/2026 12:59:29;;;en attente de livraison;RAssemian;RAssemian;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
7c2d1f3b-f8a4-4076-af24-91505aee9adf;230;;12369058;LIQUIDE CENTRALE;;;24/01/2026 12:55:04;25/01/2026;24/01/2026 12:58:07;;;en attente de livraison;RAssemian;RAssemian;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
cd41ab86-bf0a-4824-b07a-28ec908f19e0;230;;26532539;EPICERIE CENTRALE;;;24/01/2026 12:12:36;25/01/2026;24/01/2026 12:14:19;;;en attente de livraison;BTOURE;BTOURE;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
c5aa9e98-d0c6-4e5a-a894-631fe53196da;230;;10726145;BAZAR CENTRALE;;;24/01/2026 11:25:12;25/01/2026;24/01/2026 11:26:42;;;en attente de livraison;BTOURE;BTOURE;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
c00b6819-5ae8-4db7-b898-585c15b68c6a;230;;10096833;BAZAR CENTRALE;;;24/01/2026 11:19:56;25/01/2026;24/01/2026 11:25:01;;;en attente de livraison;BTOURE;BTOURE;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
eaf38ce1-5aaa-465a-9baf-960e5d438081;230;;23324679;LIQUIDE CENTRALE;;;24/01/2026 10:49:43;25/01/2026;24/01/2026 10:52:34;;;en attente de livraison;RAssemian;RAssemian;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
89fe3193-0f4f-4eae-b22a-adc08c3976b4;230;;28711569;CREMERIE CENTRALE;;;24/01/2026 09:47:01;25/01/2026;24/01/2026 09:52:16;;;en attente de livraison;kjcnguessan;kjcnguessan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
df9a3703-0853-4c59-bbc3-7683e339c929;230;;33478891;CREMERIE LD;;;24/01/2026 09:40:18;25/01/2026;24/01/2026 09:47:38;;;en attente de livraison;kjcnguessan;kjcnguessan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
f1867ff2-92ea-459f-88a3-e4f9bb6b748a;230;;32809801;FRUITS ET LEGUMES CENTRALE;;;24/01/2026 09:03:02;25/01/2026;24/01/2026 09:41:22;;;en attente de livraison;LNieupa;LNieupa;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
2ca9f950-6510-44d2-9b94-b30c4d9f627a;230;;14335025;EPICERIE CENTRALE;;;24/01/2026 08:45:24;25/01/2026;24/01/2026 08:46:26;;;en attente de livraison;SDoua;SDoua;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
08e0d24a-ccf6-487d-9b39-53d41aeab39a;230;;56361257;EPICERIE CENTRALE;;;24/01/2026 08:35:15;25/01/2026;24/01/2026 08:43:34;;;en attente de livraison;SDoua;SDoua;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
4a123b77-cd2a-4344-832d-db406e5e5755;230;;24494439;EMBALLAGE CENTRALE;;;24/01/2026 07:54:22;25/01/2026;24/01/2026 07:57:14;;;en attente de livraison;bkouame;bkouame;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
