id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique;Type commande;supplier.is_central;Fournisseur centrale
c04d2b2c-cd8b-44e1-a222-29ed0b6c4e41;292;;17481673;LD CMD FRUITS ET LEGUMES;;;08/04/2026 11:56:33;09/04/2026;08/04/2026 12:43:09;;;en attente de livraison;a.essan;a.essan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
1f2c2ff9-54fb-4597-be69-fc227e99228a;292;;33166106;LD CMD FRUITS ET BLEGUMES;;;08/04/2026 11:47:09;09/04/2026;08/04/2026 11:53:24;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
3cba2b8b-aa9d-4900-b253-f2e90ac73445;292;;18885730;CMDE CREMERIE CENTRALE;;;08/04/2026 11:36:42;09/04/2026;08/04/2026 12:32:31;;;en attente de livraison;bh.sei;bh.sei;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
