id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique;Type commande;supplier.is_central;Fournisseur centrale
d0ed1940-bf69-448c-9ca6-292b891a5650;292;;19764619;;;;04/04/2026 10:08:27;05/04/2026;04/04/2026 10:12:23;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
8828b2a6-af56-4b95-bc32-5b99fceb1af8;292;;31254522;CMD CENTRAL;;;04/04/2026 10:07:16;05/04/2026;04/04/2026 10:08:12;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
b6fe47b6-c87f-40bf-97e7-094c90e9eb94;292;;17419140;;;;04/04/2026 10:01:12;05/04/2026;04/04/2026 10:06:48;;;en attente de livraison;km.koffi;km.koffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
437bc78c-9339-44c3-a630-79522fdc0a42;292;;13564352;LC CMD LIQUIDE;;;04/04/2026 09:45:59;05/04/2026;04/04/2026 10:02:23;;;en attente de livraison;km.koffi;km.koffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
ec467d75-cc84-4db2-8af0-5b0267f58b48;292;;12503735;CMDE CREMERIE CENTRALE;;;04/04/2026 09:21:34;05/04/2026;04/04/2026 09:53:48;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
133e5503-6fff-4018-9844-d8366e870444;292;;50668169;LC CMD EPICERIE;;;04/04/2026 09:11:52;05/04/2026;04/04/2026 09:16:52;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
9f443b8e-e2e5-4513-b708-80a5d3cf0a52;292;;24512751;CMD FRUITS ET LEGUMES;;;04/04/2026 08:57:46;05/04/2026;04/04/2026 09:34:45;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
b935780f-1f35-4498-ac52-b39a62502f21;292;;30198851;LC CMD LUIQUDE;;;04/04/2026 08:44:45;05/04/2026;04/04/2026 09:31:23;;;en attente de livraison;km.koffi;km.koffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
5660d738-c978-4240-be88-08e52aa793af;292;;85814865;LC CMD EPICERIE;;;04/04/2026 08:37:55;05/04/2026;04/04/2026 09:12:25;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
cb81e166-eb2a-4140-a7e8-4553bde27658;292;;20173579;LC CMD EPICERIE;;;04/04/2026 08:21:27;05/04/2026;04/04/2026 08:38:58;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
ae065d8f-9172-4d21-bc16-906bdb7d8b97;292;;29915687;centrale dph 4/4/26;;;04/04/2026 01:27:26;05/04/2026;04/04/2026 09:51:52;;;en attente de livraison;km.koffi;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
