Numéro;Dépôt de destination;Dépôt d'origine;Date;Observation;Transfert entre dépôt;Exportée;Code du client;Code du dépôt;Date de livraison prévue
DIV-261088;Œnophile Djibi;Divers;08/04/2026;suite de commande ;;Coché;;DIV;
DIV-261086;OENOPHILE 2 PLTX LATRILLE;Divers;08/04/2026;COMMANDE SUITE;;Coché;;DIV;
DIV-261085;OENOPHILE 2 PLTX LATRILLE;Divers;08/04/2026;COMMANDE DE VINS ET ALCOOLS;;Coché;;DIV;
DIV-261083;Œnophile Plateau;Divers;08/04/2026;COMMANDE BAZAAR ;;Coché;;DIV;
DIV-261084;BOUTIQUE NESPRESSO CAP NORD;Divers;08/04/2026;COMMANDES;;Coché;;DIV;
DIV-261081;Œnophile Sococe 2 Plateaux;Divers;08/04/2026;COMMANDE DE BAZAR;;Coché;;DIV;
DIV-261087;Œnophile Djibi;Divers;08/04/2026;commande du 05/04/2026 vin ;;Coché;;DIV;
DIV-261082;Œnophile Plateau;Divers;08/04/2026;COMMANDE DE VINS ET SPIRITUEUX;;Coché;;DIV;
DIV-261080;OENOPHILE ZONE 3;Divers;08/04/2026;COMMANDE REASSORT ;;Coché;;DIV;
DIV-261079;Œnophile Zone 4;Divers;08/04/2026;COMMANDE DE VINS ET SPIRITUEUX DU 08/04/2026;;Coché;;DIV;
DIV-261078;NESPRESSO NOUR AL HAYAT;Divers;08/04/2026;;;Coché;;DIV;
DIV-261076;BOUTIQUE NESPRESSO II PLATEAUX;Divers;08/04/2026;COMMANDES DIVES;;Coché;;DIV;
DIV-261077;Œnophile Cap Sud;Divers;08/04/2026;COMMANDE DE VINS ET SPIRITUEUX DU 08/04/2026;;Coché;;DIV;
DIV-261075;BOUTIQUE NESPRESSO II PLATEAUX;Divers;08/04/2026;COMMANDE CAFES;;Coché;;DIV;
DIV-261074;NESPRESSO NOUR AL HAYAT;Divers;07/04/2026;;;Coché;;DIV;
DIV-261073;Œnophile 2 Plateaux;Divers;07/04/2026;COMPLEMENT DU 07/04/2026;;Coché;;DIV;
DIV-261071;Œnophile Djibi;Divers;07/04/2026;suite de commande;;Coché;;DIV;
