Numéro;Dépôt de destination;Dépôt d'origine;Date;Observation;Transfert entre dépôt;Exportée;Code du client;Code du dépôt;Date de livraison prévue
DIV-261112;Boutique Nespresso Cap Sud;Divers;10/04/2026;;;Coché;;DIV;
DIV-261111;Boutique Nespresso Cap Sud;Divers;10/04/2026;;;Coché;;DIV;
DIV-261110;Œnophile Zino Plateau;Divers;10/04/2026;COMMANDE LIQUIDE DU 10/04/2026;;Coché;;DIV;
DIV-261109;NESPRESSO NOUR AL HAYAT;Divers;09/04/2026;;;Coché;;DIV;
DIV-261107;Œnophile Plateau;Divers;09/04/2026;COMMANDE DE LIQUIDE;;Coché;;DIV;
DIV-261106;Œnophile Zino Plateau;Divers;09/04/2026;COMMANDE BAZAR DU 09/04/2026;;Coché;;DIV;
DIV-261105;Œnophile Zino Plateau;Divers;09/04/2026;COMMANDE LIQUIDE DU09/04/2026;;Coché;;DIV;
DIV-261102;Oenophile Faya;Divers;09/04/2026;COMMANDE DE RUBAN ADHESIF;;Coché;;DIV;
DIV-261108;Œnophile Sococe 2 Plateaux;Divers;09/04/2026;COMMANDE DE VIN ET SPIRITUEUX;;Coché;;DIV;
DIV-261103;Œnophile Zone 4;Divers;09/04/2026;COMPLEMENT COMMANDE;;Coché;;DIV;
DIV-261100;OENOPHILE SOL BENI;Divers;09/04/2026;Commande de vins et alcools;;Coché;;DIV;
DIV-261101;Œnophile BONOUMIN;Divers;09/04/2026;COMMANDE LIQUIDE;;Coché;;DIV;
DIV-261099;Oenophile Faya;Divers;09/04/2026;COMMANDE DE LIQUIDES;;Coché;;DIV;
DIV-261096;Boutique Nespresso Cap Sud;Divers;09/04/2026;;;Coché;;DIV;
DIV-261097;OENOPHILE ZONE 3;Divers;09/04/2026;COMMANDE REASSORT ;;Coché;;DIV;
DIV-261098;Œnophile ALLABRA;Divers;09/04/2026;COMMANDE DU 09/04/2026;;Coché;;DIV;
DIV-261104;Œnophile 2 Plateaux;Divers;09/04/2026;COMMANDE DU 09/04/2026;;Coché;;DIV;
DIV-261095;Œnophile Zone 4;Divers;09/04/2026;COMMANDE DE LIQUIDES ;;Coché;;DIV;
DIV-261094;Œnophile Cap Sud;Divers;09/04/2026;COMMANDE DE BAZAR DU JEUDI 9 AVRIL 2026;;Coché;;DIV;
DIV-261093;Boutique Nespresso Cap Sud;Divers;09/04/2026;;;Coché;;DIV;
DIV-261092;Boutique Nespresso Cap Sud;Divers;09/04/2026;;;Coché;;DIV;
DIV-261091;Boutique Nespresso Cap Sud;Divers;09/04/2026;;;Coché;;DIV;
DIV-261090;Œnophile Cap Sud;Divers;09/04/2026;COMMANDE DE VINS ET SPIRITUEUX DU JEUDI 8 AVRIL 2026;;Coché;;DIV;
