NIVEAU DE RUPTURE;INDICATEUR FIN DE PAGE;NCID;NOMMAGASIN NOMMAG ASIN;NCDE;QCDUID TOTAL;DCDE;DCRE;TYFC;TYCM
1;;310;S2P ECOMARCHE SAN PEDRO;40229;1866.0;260331;260404;G;GPV
1;;356;CIV COCODY (P);34638;605.0;260401;260404;G;GPV
1;;356;CIV COCODY (P);34637;4610.0;260401;260404;G;GPV
1;;356;CIV COCODY (P);34636;1424.0;260401;260404;G;GPV
1;;035;HYPER HAYAT;333479;12.0;260402;260403;G;GPV
1;;035;HYPER HAYAT;333477;24.0;260402;260403;P;GPV
1;;080;MANDARINE MARCORY;120357;1427.0;260402;260403;G;GPV
1;;203;OENOPHILE ZONE 3;261028;4455.0;260402;260403;G;GPV
1;;220;SUPER U PLATEAU;195876;817.0;260402;260403;G;GPV
1;;220;SUPER U PLATEAU;195871;536.0;260402;260403;G;GPV
1;;220;SUPER U PLATEAU;195870;549.0;260402;260403;G;GPV
1;;235;SUPER U DJIBI;201693;838.0;260402;260403;G;GPV
1;;235;SUPER U DJIBI;201691;132.0;260402;260403;G;GPV
1;;295;CASINO ALLABRA;296022;84.0;260402;260403;G;GPV
1;;295;CASINO ALLABRA;296019;60.0;260402;260403;P;GPV
1;;295;CASINO ALLABRA;296018;24.0;260402;260403;P;GPV
1;;295;CASINO ALLABRA;296017;600.0;260402;260403;P;GPV
1;;295;CASINO ALLABRA;296015;5026.0;260402;260403;G;GPV
1;;295;CASINO ALLABRA;296012;1216.0;260402;260403;G;GPV
1;;295;CASINO ALLABRA;296008;996.0;260402;260403;P;GPV
1;;295;CASINO ALLABRA;296007;5268.0;260402;260403;G;GPV
1;;295;CASINO ALLABRA;296006;2479.0;260402;260403;P;GPV
1;;302;S2P HYPER U;291565;2084.0;260402;260403;P;GPV
1;;302;S2P HYPER U;291564;334.0;260402;260403;G;GPV
1;;302;S2P HYPER U;291563;1602.0;260402;260403;P;GPV
1;;302;S2P HYPER U;291562;3566.0;260402;260403;G;GPV
1;;302;S2P HYPER U;291559;755.0;260402;260403;P;GPV
1;;302;S2P HYPER U;291558;1464.0;260402;260403;G;GPV
1;;302;S2P HYPER U;291556;103.0;260402;260403;G;GPV
1;;302;S2P HYPER U;291555;3802.0;260402;260403;G;GPV
1;;302;S2P HYPER U;291553;4205.0;260402;260403;G;GPV
1;;303;S2P SOCOCE BOUAKE;22807;2161.0;260402;260403;P;GPV
1;;303;S2P SOCOCE BOUAKE;22806;14867.0;260402;260403;P;GPV
1;;303;S2P SOCOCE BOUAKE;22805;17356.0;260402;260403;P;GPV
1;;303;S2P SOCOCE BOUAKE;22804;7366.0;260402;260403;P;GPV
1;;353;CIV ANGRE (P);39280;2152.0;260402;260403;G;GPV
1;;414;CIV U PORT-BOUET (P);12466;3353.0;260402;260403;G;GPV
1;;414;CIV U PORT-BOUET (P);12465;3931.0;260402;260403;G;GPV
1;;035;HYPER HAYAT;333527;244.0;260403;260403;G;GPV
1;;035;HYPER HAYAT;333526;90.0;260403;260403;G;GPV
1;;035;HYPER HAYAT;333525;160.0;260403;260403;G;GPV
