Id;Magasin;Nom affiché;N° bon livraison;Type réception;Fournisseur;Commande fournisseur;Statut commande;Validée;Date réception;Date création;Date validation;Quantité totale;Valorisation HT;Valorisation TTC
05f4bee8-b6ad-4bb9-81d2-695593ba4083;220;Réception (B.L. : 1100216301);1100216301;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:25;0.000;0.0;0.0
121a0241-3dc2-4471-a9af-0c5c86e38f01;220;Réception (B.L. : 1100216190);1100216190;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:21;0.000;0.0;0.0
176260d2-f945-4bc8-b572-2474fb2948e5;220;Réception (B.L. : 1800337418);1800337418;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 17:13;0.000;0.0;0.0
1d4a1288-8e2e-4f26-8656-9955504c8fd0;220;Réception (B.L. : 1800337306);1800337306;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:50;0.000;0.0;0.0
22d48ebe-cbb0-4c80-861f-07fe1e473662;220;Réception (B.L. : 1200108160);1200108160;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:13;0.000;0.0;0.0
321e6736-9a4c-43dd-9a36-62239b843efa;220;Réception (B.L. : 1200108158);1200108158;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:11;0.000;0.0;0.0
36cd6785-42e0-4875-8907-6d5ffc6e5a71;220;Réception (B.L. : 1200108159);1200108159;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:12;0.000;0.0;0.0
3cafb3a6-669d-4821-904a-06120f8d8500;220;Réception (B.L. : 1100216284);1100216284;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:24;0.000;0.0;0.0
4338e5dd-f085-4cca-b3df-47b95936ea58;220;Réception (B.L. : 1700237440);1700237440;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:38;0.000;0.0;0.0
646edbfb-6c4e-4092-9b58-eacd37f14990;220;Réception (B.L. : 1700237430);1700237430;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:28;0.000;0.0;0.0
64965a3d-7833-4fc2-bfd6-b3fa1bb5ca97;220;Réception (B.L. : 1800337422);1800337422;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 17:17;0.000;0.0;0.0
65c7b644-9725-44a2-acbd-03483c8dbe8c;220;Réception (B.L. : 1700237435);1700237435;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:33;0.000;0.0;0.0
66d1ce48-3129-47be-abfa-d849520c790c;220;Réception (B.L. : 1800337496);1800337496;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 17:18;0.000;0.0;0.0
69c852f4-c24f-4bbf-89ee-38494f460e8d;220;Réception (B.L. : 1700237438);1700237438;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:36;0.000;0.0;0.0
7096c6ac-20c7-4233-afa9-dc4027374aaf;220;Réception (B.L. : 1100216212);1100216212;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:23;0.000;0.0;0.0
7776be6b-712b-41eb-b7d3-0686f011a45c;220;Réception (B.L. : 1200108167);1200108167;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:16;0.000;0.0;0.0
78c99d90-a868-4664-bdef-64bbd0128875;220;Réception (B.L. : 1100216188);1100216188;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:19;0.000;0.0;0.0
965b087d-5110-4597-9996-30752b2558a6;220;Réception (B.L. : 1700237428);1700237428;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:26;0.000;0.0;0.0
9b62f867-20b3-482d-9cde-d4a7fe36abd0;220;Réception (B.L. : 1100216329);1100216329;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 17:12;0.000;0.0;0.0
9e5c17bb-c322-45d2-839c-6f0515cd440b;220;Réception (B.L. : 1100216187);1100216187;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:18;0.000;0.0;0.0
9f76ca02-9aef-4b29-9491-f1e0d88eecf3;220;Réception (B.L. : 1800337419);1800337419;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 17:14;0.000;0.0;0.0
a163e777-8897-4725-9f8d-79bfae9f55a4;220;Réception (B.L. : 1800337420);1800337420;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 17:15;0.000;0.0;0.0
a1cd7ee9-c689-4ddb-ab1f-1534480d1244;220;Réception (B.L. : 1200108166);1200108166;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:15;0.000;0.0;0.0
a63c84c5-3b8c-46a8-89cd-2ceac96d9757;220;Réception (B.L. : 1100216189);1100216189;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:20;0.000;0.0;0.0
adba690a-4a9c-48de-9199-2a18c1b59c68;220;Réception (B.L. : 1200108205);1200108205;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:17;0.000;0.0;0.0
b4e6858c-ff55-43c6-9f28-b92ea8c85f94;220;Réception (B.L. : 1200108162);1200108162;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:14;0.000;0.0;0.0
b7aa69b3-e5cc-4d8e-b2f2-139febdeae5d;220;Réception (B.L. : 1700237441);1700237441;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:39;0.000;0.0;0.0
c4c37235-8a1d-426c-bb13-e89544b93a2b;220;Réception (B.L. : 1700237432);1700237432;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:30;0.000;0.0;0.0
ca8e4ce7-54c7-4568-b028-a78818394ef5;220;Réception (B.L. : 1700237434);1700237434;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:32;0.000;0.0;0.0
cc4556fa-de5c-45b6-bf62-9ce994b6b4c9;220;Réception (B.L. : 1700237443);1700237443;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:40;0.000;0.0;0.0
cfa78213-521c-44ba-aebd-b3761d510244;220;Réception (B.L. : 1800337219);1800337219;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:49;0.000;0.0;0.0
cfc084d4-b4b6-4a27-8acb-9d9e4d80965c;220;Réception (B.L. : 1700237437);1700237437;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:35;0.000;0.0;0.0
d0f35e05-e675-4aa3-bc35-d93f35f137af;220;Réception (B.L. : 1700237431);1700237431;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:29;0.000;0.0;0.0
d537ba1d-7fe2-407b-8b05-7ba0d9f9d9f6;220;Réception (B.L. : 1700237429);1700237429;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:27;0.000;0.0;0.0
da6f6aff-0b26-4929-be20-c24ff6b54e71;220;Réception (B.L. : 1100216191);1100216191;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:22;0.000;0.0;0.0
e73fa530-056d-457f-9b3a-2caa717a7be1;220;Réception (B.L. : 1800337421);1800337421;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 17:16;0.000;0.0;0.0
f5b0ae96-3a76-418c-b72d-04303decf029;220;Réception (B.L. : 1700237436);1700237436;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:34;0.000;0.0;0.0
f92b0f90-c1f5-4c4d-ac14-2574632f8b8a;220;Réception (B.L. : 1700237439);1700237439;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:37;0.000;0.0;0.0
fecf71cd-6b50-4f5a-bfd6-1bc33376f3bf;220;Réception (B.L. : 1100216328);1100216328;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 17:11;0.000;0.0;0.0
ffe8edd3-c999-442d-8670-2558b419567b;220;Réception (B.L. : 1700237433);1700237433;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;08/04/2026 00:00;;08/04/2026 12:31;0.000;0.0;0.0
