Id;Magasin;Nom affiché;N° bon livraison;Type réception;Fournisseur;Commande fournisseur;Statut commande;Validée;Date réception;Date création;Date validation;Quantité totale;Valorisation HT;Valorisation TTC
02f10b10-ea7a-4d0b-9239-55ee677b9873;411;Réception (B.L. : 1800336733);1800336733;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:16;0.000;0.0;0.0
0348ed6d-3740-4ef1-9df0-3829af81f54d;413;Réception (B.L. : 1100215969);1100215969;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;07/04/2026 00:00;;06/04/2026 23:20;500.000;65640.0;77300.0
05cb85eb-ec24-477c-bf2d-670611f04a46;356;Réception (B.L. : 1800336708);1800336708;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:25;0.000;0.0;0.0
083185e4-ef50-4778-932d-f537a4bd144e;410;Réception (B.L. : 1800336742);1800336742;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:31;0.000;0.0;0.0
0d1c0ce1-6a37-4593-8c05-f1dad0d9ad03;410;Réception (B.L. : 1800336732);1800336732;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:30;0.000;0.0;0.0
0e7e7c7a-f0f7-4438-a518-7df100190d1e;353;Réception (B.L. : 1100215804);1100215804;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:17;48.000;185358.0;205506.0
0f579d8a-f364-4786-95cb-0b702a61e8ca;411;Réception (B.L. : 1800336735);1800336735;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:18;0.000;0.0;0.0
1018e44d-e9d2-466a-b0aa-24d6b96a0480;353;Réception (B.L. : 1700236784);1700236784;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:20;674.000;366396.0;410686.0
11bc516e-47a9-4401-ae48-07650999baa7;353;Réception (B.L. : 1100215801);1100215801;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:14;24.000;7848.0;9264.0
14c2925d-7be9-4ced-b3e2-a53bfa9e2d09;410;Réception (B.L. : 1800336731);1800336731;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:29;0.000;0.0;0.0
14ed3446-8563-4083-bc9a-d5ec1226fb0d;356;Réception (B.L. : 1100215805);1100215805;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:11;0.000;0.0;0.0
16679bb9-84db-4598-a3ae-632e256728a1;353;Réception (B.L. : 1100215798);1100215798;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:11;1782.000;657726.0;776372.0
1e3dec03-4efc-4af8-8c1c-b165cc6ac93f;356;Réception (B.L. : 1800336707);1800336707;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:24;0.000;0.0;0.0
22f32031-1790-4b01-89ad-1f5962ae311d;364;Réception (B.L. : 1100215764);1100215764;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:13;18.000;35508.0;41898.0
299c4d1c-229f-43c0-8cd4-088fa1f7b99b;356;Réception (B.L. : 1700236791);1700236791;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:18;0.000;0.0;0.0
2f2f0a7c-4ca1-4ec2-9b47-6c20a1f1a831;413;Réception (B.L. : 1100215945);1100215945;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:12;6.000;44400.0;52392.0
30591c95-3e58-414a-a015-0f2b9fb97e7d;353;Réception (B.L. : 1700236786);1700236786;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:22;87.000;112392.0;132599.0
3187f7f0-f709-4147-b274-a945058c7bf8;353;Réception (B.L. : 1800336701);1800336701;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:29;655.600;583458.0;632811.0
3a175be7-d23e-4793-96e8-9aebf68a418e;411;Réception (B.L. : 1800336734);1800336734;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:17;0.000;0.0;0.0
416fa6b6-bd78-4731-96f6-31baae16ffb2;356;Réception (B.L. : 1800336706);1800336706;;FOURNISSEUR CENTRALE;;Pas de commande associée;O;06/04/2026 00:00;;06/04/2026 12:23;0.000;0.0;0.0
