pos_id;pos_name;collected_at;id;created_at;updated_at;entry_type_value;entry_type_label;entry_type_detail_type;entry_type_detail_text;status_value;status_label;username;report;shop_reference;shop_name
pos12;POS 12;2026-04-09T18:56:39.913284+00:00;19a2dee6-81e8-4a0d-946d-decb28a0b161;2026-04-08T23:11:00.841848;2026-04-08T23:11:00.841859;30;import de données;department;département;1;en cours;interne;;311;SOCOCE CHATEAU EAU
pos12;POS 12;2026-04-09T18:56:39.913284+00:00;6a62bd41-8cde-4d8a-bda3-739e3c273966;2026-04-08T23:11:00.821698;2026-04-08T23:11:00.821710;30;import de données;department;département;1;en cours;interne;;308;S2P SOCOCE ABOBO
pos12;POS 12;2026-04-09T18:56:39.913284+00:00;5202c34d-4dc7-4ed4-acb5-84c909811405;2026-04-08T23:11:00.805867;2026-04-08T23:11:00.805878;30;import de données;department;département;1;en cours;interne;;305;S2P SOCOCE RUE DES JARDINS
pos12;POS 12;2026-04-09T18:56:39.913284+00:00;e335c62f-afd7-46b5-a5af-3055d88f994f;2026-04-08T23:11:00.792498;2026-04-08T23:11:00.792510;30;import de données;department;département;1;en cours;interne;;301;S2P SOCOCE ZONE 3
pos12;POS 12;2026-04-09T18:56:39.913284+00:00;a12929ff-544a-40dc-b168-63aa6683c8b8;2026-04-08T17:11:00.783446;2026-04-08T17:11:01.264018;30;import de données;delivery;livraison;0;erreur;interne;"Extrait du rapport d'import: | 0 lignes supprimées | 2026-04-08 17:11:00,916 {'product': [ErrorDetail(string=""MARTINI EXTRA DRY 18� 1L n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L036070104MARTINI EXTRA DRY 18� 1L           00000175120000400000006000000000010000000816560000009400000 2000452141106 00000000000001751200034441] | 2026-04-08 17:11:00,935 {'product': [ErrorDetail(string=""LIQ SUZE� 20� 1L n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L036070110LIQ SUZE� 20� 1L                   00000175120000500000012000000000020000000975742000012200000 3047101928588 00000000000001751200034441] | 2026-04-08 17:11:00,955 {'product': [ErrorDetail(string=""WHISKY BALLANT FINEST 40� 75CL n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L037080003WHISKY BALLANT FINEST 40� 75CL     00000175120000600000024000000000020000000972202000011400000 5010106113127 00000000000001751200034441] | 2026-04-08 17:11:00,971 {'product': [ErrorDetail(string=""WHISKY BLACK & WHITE 40� 75CL n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L037080025WHISKY BLACK & WHITE 40� 75CL      00000175120000700000012000000000010000000696200000008400000 0000050196111 00000000000001751200034441] | 2026-04-08 17:11:00,987 {'product': [ErrorDetail(string=""WHISKY WHITE HORSE 40� 75CL n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L037080026WHISKY WHITE HORSE 40� 75CL        00000175120000800000012000000000010000000805586000009500000 5000265001007 00000000000001751200034441] | 2026-04-08 17:11:01,002 {'product': [ErrorDetail(string=""LIQ MALIBU 21� 70CL n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L037084045LIQ MALIBU 21� 70CL                00000175120000900000006000000000010000000928542000011350000 8410024710601 00000000000001751200034441] | 2026-04-08 17:11:01,020 {'product': [ErrorDetail(string=""WHISKY JACK DANIELS 40� 70CL n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100017170WHISKY JACK DANIELS 40� 70CL       00000175120001000000036000000000030000001727638000021400000 5099873090473 00000000000001751200034441] | 2026-04-08 17:11:01,037 {'product': [ErrorDetail(string=""BRANDY BARDINET NAP 36� 70CL n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100075577BRANDY BARDINET NAP 36� 70CL       00000175120001100000012000000000010000000498786000006400000 3012997653104 00000000000001751200034441] | 2026-04-08 17:11:01,056 {'product': [ErrorDetail(string=""GIN MAJOR JHONSON 40� 1,5L n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100088126GIN MAJOR JHONSON 40� 1,5L         00000175120001200000030000000000050000000278362000003300000 6186000003341 00000000000001751200034441] | 2026-04-08 17:11:01,072 {'product': [ErrorDetail(string=""RHUM CAPTAIN 40� 1,5L n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100088127RHUM CAPTAIN 40� 1,5L              00000175120001300000030000000000050000000278362000003300000 6186000003181 00000000000001751200034441] | 2026-04-08 17:11:01,088 {'product': [ErrorDetail(string=""COCKT WHISKY YACHT ROY CR 17� 70CL n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100131673COCKT WHISKY YACHT ROY CR 17� 70CL 00000175120001400000012000000000010000000685344000008600000 3014400008990 00000000000001751200034441] | 2026-04-08 17:11:01,104 {'product': [ErrorDetail(string=""WHISKY LORD KENNY WHITE 40� 70CL n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100138196WHISKY LORD KENNY WHITE 40� 70CL   00000175120001500000024000000000020000000182192000002600000 6186000003563 00000000000001751200034441] | 2026-04-08 17:11:01,121 {'product': [ErrorDetail(string=""GIN CAPTAINS 40� 20CL n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100249005GIN CAPTAINS 40� 20CL              00000175120001600000120000000000050000000040238000000455000 6186000003358 00000000000001751200034441] | 2026-04-08 17:11:01,138 {'product': [ErrorDetail(string=""WHISKY PECHE YACHTING 18� 20CL n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100446452WHISKY PECHE YACHTING 18� 20CL     00000175120001700000240000000000050000000042480000000500000 6186000003617 00000000000001751200034441] | 2026-04-08 17:11:01,155 {'product': [ErrorDetail(string=""GIN CAPTAINS 40� 1,5L SODIALCI n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100487518GIN CAPTAINS 40� 1,5L SODIALCI     00000175120001800000006000000000010000000278362000003300000 6186000003402 00000000000001751200034441] | 2026-04-08 17:11:01,170 {'product': [ErrorDetail(string=""WHISKY GRANTS SMOKY 40� 70CL n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100567537WHISKY GRANTS SMOKY 40� 70CL       00000175120001900000006000000000010000000693604000009050000 5010327255033 00000000000001751200034441] | 2026-04-08 17:11:01,186 {'product': [ErrorDetail(string=""GIN LORD ETFONTON 40� 70CL n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100568146GIN LORD ETFONTON 40� 70CL         00000175120002000000024000000000020000000120006000001600000 6186000087860 00000000000001751200034441] | 2026-04-08 17:11:01,201 {'product': [ErrorDetail(string=""LIQ COLA FORCE 42� 1L n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100568150LIQ COLA FORCE 42� 1L              00000175120002100000024000000000020000000150096000001750000 6186000087341 00000000000001751200034441] | 2026-04-08 17:11:01,217 {'product': [ErrorDetail(string=""VODKA ENERG 42� BTL 1L CALAO n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100568153VODKA ENERG 42� BTL 1L CALAO       00000175120002200000024000000000020000000150096000001750000 6186000212897 00000000000001751200034441] | 2026-04-08 17:11:01,233 {'product': [ErrorDetail(string=""VODKA PUR DIVINE CASSIS 37,5� 1L n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100626277VODKA PUR DIVINE CASSIS 37,5� 1L   00000175120002300000006000000000010000000480614000005900000 3263280124010 00000000000001751200034441] | 2026-04-08 17:11:01,235 fin intégration: (a12929ff-544a-40dc-b168-63aa6683c8b8) | fichier: /srv/import/311/Fac_311_00414092.LC | 24 lignes formatées | 23 lignes en erreurs | 1 lignes crées | 0 lignes mises à jour | 0 lignes supprimées";311;SOCOCE CHATEAU EAU
pos12;POS 12;2026-04-09T18:56:39.913284+00:00;6c085251-ae6c-4484-858b-8765d099c3ae;2026-04-08T17:11:00.770866;2026-04-08T17:11:00.927157;30;import de données;delivery;livraison;0;erreur;interne;"Extrait du rapport d'import: | 2026-04-08 17:11:00,865 {'product': [ErrorDetail(string=""BITTER BTL 6X10CL SAN PELLEGRINO n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L030002310BITTER BTL 6X10CL SAN PELLEGRINO   00000175120000100000160000000000400000000390698000004800000 7000000006715 00000000000001751200034441] | 2026-04-08 17:11:00,865 fin intégration: (964c81a0-b293-408f-b854-30a01feb440d) | fichier: /srv/import/308/Fac_308_00414050.LC | 2 lignes formatées | 1 lignes en erreurs | 1 lignes crées | 0 lignes mises à jour | 0 lignes supprimées | 2026-04-08 17:11:00,878 {'product': [ErrorDetail(string=""VODKA ENERG LEMON 18� BTE 25CL VODY n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100698995VODKA ENERG LEMON 18� BTE 25CL VODY00000175910000200000120000000000050000000048380000000600000 4099461000748 00000000000001759100103992] | 2026-04-08 17:11:00,881 {'product': [ErrorDetail(string=""PASTIS 51 45� 1L n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L036070001PASTIS 51 45� 1L                   00000175120000200000012000000000010000001182006000013800000 3047100097209 00000000000001751200034441] | 2026-04-08 17:11:00,883 fin intégration: (70215755-0082-40e8-8050-4c83e6b5c4ff) | fichier: /srv/import/301/Fac_301_00414091.LC | 3 lignes formatées | 2 lignes en erreurs | 1 lignes crées | 0 lignes mises à jour | 0 lignes supprimées | 2026-04-08 17:11:00,894 {'product': [ErrorDetail(string=""BOISS VODKA MIX BTE 18� VODY n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100693713BOISS VODKA MIX BTE 18� VODY       00000176040000200000720000000000300000000046492000000600000 4099461000397 00000000000001760400029257] | 2026-04-08 17:11:00,898 {'product': [ErrorDetail(string=""MARTINI BIANCO 15� 1L n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L036070103MARTINI BIANCO 15� 1L              00000175120000300000018000000000030000000817740000009400000 7630040408820 00000000000001751200034441] | 2026-04-08 17:11:00,902 fin intégration: (6c085251-ae6c-4484-858b-8765d099c3ae) | fichier: /srv/import/305/Fac_305_00414132.LC | 3 lignes formatées | 2 lignes en erreurs | 1 lignes crées | 0 lignes mises à jour | 0 lignes supprimées | 2026-04-08 17:11:00,916 {'product': [ErrorDetail(string=""MARTINI EXTRA DRY 18� 1L n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L036070104MARTINI EXTRA DRY 18� 1L           00000175120000400000006000000000010000000816560000009400000 2000452141106 00000000000001751200034441]";305;S2P SOCOCE RUE DES JARDINS
pos12;POS 12;2026-04-09T18:56:39.913284+00:00;70215755-0082-40e8-8050-4c83e6b5c4ff;2026-04-08T17:11:00.763837;2026-04-08T17:11:00.923132;30;import de données;delivery;livraison;0;erreur;interne;"Extrait du rapport d'import: | 2026-04-08 17:11:00,865 {'product': [ErrorDetail(string=""BITTER BTL 6X10CL SAN PELLEGRINO n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L030002310BITTER BTL 6X10CL SAN PELLEGRINO   00000175120000100000160000000000400000000390698000004800000 7000000006715 00000000000001751200034441] | 2026-04-08 17:11:00,865 fin intégration: (964c81a0-b293-408f-b854-30a01feb440d) | fichier: /srv/import/308/Fac_308_00414050.LC | 2 lignes formatées | 1 lignes en erreurs | 1 lignes crées | 0 lignes mises à jour | 0 lignes supprimées | 2026-04-08 17:11:00,878 {'product': [ErrorDetail(string=""VODKA ENERG LEMON 18� BTE 25CL VODY n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100698995VODKA ENERG LEMON 18� BTE 25CL VODY00000175910000200000120000000000050000000048380000000600000 4099461000748 00000000000001759100103992] | 2026-04-08 17:11:00,881 {'product': [ErrorDetail(string=""PASTIS 51 45� 1L n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L036070001PASTIS 51 45� 1L                   00000175120000200000012000000000010000001182006000013800000 3047100097209 00000000000001751200034441] | 2026-04-08 17:11:00,883 fin intégration: (70215755-0082-40e8-8050-4c83e6b5c4ff) | fichier: /srv/import/301/Fac_301_00414091.LC | 3 lignes formatées | 2 lignes en erreurs | 1 lignes crées | 0 lignes mises à jour | 0 lignes supprimées | 2026-04-08 17:11:00,894 {'product': [ErrorDetail(string=""BOISS VODKA MIX BTE 18� VODY n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100693713BOISS VODKA MIX BTE 18� VODY       00000176040000200000720000000000300000000046492000000600000 4099461000397 00000000000001760400029257] | 2026-04-08 17:11:00,898 {'product': [ErrorDetail(string=""MARTINI BIANCO 15� 1L n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L036070103MARTINI BIANCO 15� 1L              00000175120000300000018000000000030000000817740000009400000 7630040408820 00000000000001751200034441] | 2026-04-08 17:11:00,902 fin intégration: (6c085251-ae6c-4484-858b-8765d099c3ae) | fichier: /srv/import/305/Fac_305_00414132.LC | 3 lignes formatées | 2 lignes en erreurs | 1 lignes crées | 0 lignes mises à jour | 0 lignes supprimées | 2026-04-08 17:11:00,916 {'product': [ErrorDetail(string=""MARTINI EXTRA DRY 18� 1L n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L036070104MARTINI EXTRA DRY 18� 1L           00000175120000400000006000000000010000000816560000009400000 2000452141106 00000000000001751200034441]";301;S2P SOCOCE ZONE 3
pos12;POS 12;2026-04-09T18:56:39.913284+00:00;964c81a0-b293-408f-b854-30a01feb440d;2026-04-08T17:11:00.777358;2026-04-08T17:11:00.902948;30;import de données;delivery;livraison;0;erreur;interne;"Extrait du rapport d'import: | 2026-04-08 17:11:00,775 fichier present: (['Fac_308_00414050.LC'] - delivery) dans /srv/import/308/ | 2026-04-08 17:11:00,776 2 lignes lu dans le fichier /srv/import/308/Fac_308_00414050.LC | 2026-04-08 17:11:00,776 lancement intégration: (964c81a0-b293-408f-b854-30a01feb440d) | 2026-04-08 17:11:00,781 fichier present: (['Fac_311_00414092.LC'] - delivery) dans /srv/import/311/ | 2026-04-08 17:11:00,782 24 lignes lu dans le fichier /srv/import/311/Fac_311_00414092.LC | 2026-04-08 17:11:00,782 lancement intégration: (a12929ff-544a-40dc-b168-63aa6683c8b8) | 2026-04-08 17:11:00,851 {'product': [ErrorDetail(string=""COCKT PLANT 0� 75CL MR COCKT n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100301666COCKT PLANT 0� 75CL MR COCKT       00000175910000100000006000000000010000000294174000003900000 3138670740029 00000000000001759100103987] | 2026-04-08 17:11:00,862 {'product': [ErrorDetail(string=""PALETTE APAL  80*120 n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100514060PALETTE APAL  80*120               00000440530000100000001000000000010000001049138000010490000 2001005140607 00000000000004405303912109] | 2026-04-08 17:11:00,863 {'product': [ErrorDetail(string=""BITTER BTL 6X10CL SAN PELLEGRINO n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L030002310BITTER BTL 6X10CL SAN PELLEGRINO   00000176040000100000160000000000400000000390698000004800000 7000000006715 00000000000001760400029257] | 2026-04-08 17:11:00,865 {'product': [ErrorDetail(string=""BITTER BTL 6X10CL SAN PELLEGRINO n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L030002310BITTER BTL 6X10CL SAN PELLEGRINO   00000175120000100000160000000000400000000390698000004800000 7000000006715 00000000000001751200034441] | 2026-04-08 17:11:00,865 fin intégration: (964c81a0-b293-408f-b854-30a01feb440d) | fichier: /srv/import/308/Fac_308_00414050.LC | 2 lignes formatées | 1 lignes en erreurs | 1 lignes crées | 0 lignes mises à jour | 0 lignes supprimées | 2026-04-08 17:11:00,878 {'product': [ErrorDetail(string=""VODKA ENERG LEMON 18� BTE 25CL VODY n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100698995VODKA ENERG LEMON 18� BTE 25CL VODY00000175910000200000120000000000050000000048380000000600000 4099461000748 00000000000001759100103992] | 2026-04-08 17:11:00,881 {'product': [ErrorDetail(string=""PASTIS 51 45� 1L n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L036070001PASTIS 51 45� 1L                   00000175120000200000012000000000010000001182006000013800000 3047100097209 00000000000001751200034441] | 2026-04-08 17:11:00,883 fin intégration: (70215755-0082-40e8-8050-4c83e6b5c4ff) | fichier: /srv/import/301/Fac_301_00414091.LC | 3 lignes formatées | 2 lignes en erreurs | 1 lignes crées | 0 lignes mises à jour | 0 lignes supprimées | 2026-04-08 17:11:00,894 {'product': [ErrorDetail(string=""BOISS VODKA MIX BTE 18� VODY n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100693713BOISS VODKA MIX BTE 18� VODY       00000176040000200000720000000000300000000046492000000600000 4099461000397 00000000000001760400029257] | 2026-04-08 17:11:00,898 {'product': [ErrorDetail(string=""MARTINI BIANCO 15� 1L n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L036070103MARTINI BIANCO 15� 1L              00000175120000300000018000000000030000000817740000009400000 7630040408820 00000000000001751200034441]";308;S2P SOCOCE ABOBO
pos12;POS 12;2026-04-09T18:56:39.913284+00:00;c1374a0f-9428-4022-bdc7-14c09e8e3dcc;2026-04-08T12:20:00.717197;2026-04-08T12:20:00.849908;30;import de données;delivery;livraison;0;erreur;interne;"Extrait du rapport d'import: | 5 lignes formatées | 4 lignes en erreurs | 1 lignes crées | 0 lignes mises à jour | 0 lignes supprimées | 2026-04-08 12:19:00,712 fichier present: (['Fac_301_00413930.LC', 'Fac_301_00413908.LC'] - delivery) dans /srv/import/301/ | 2026-04-08 12:19:00,714 2 lignes lu dans le fichier /srv/import/301/Fac_301_00413908.LC | 2026-04-08 12:19:00,714 lancement intégration: (32a0fa25-b610-47be-9b6d-abb4ebac237e) | 2026-04-08 12:19:00,804 {'product': [ErrorDetail(string=""PALETTE APAL  80*120 n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100514060PALETTE APAL  80*120               00000174860000100000001000000000010000001049138000010490000 2001005140607 00000000000001748603910986] | 2026-04-08 12:19:00,808 fin intégration: (32a0fa25-b610-47be-9b6d-abb4ebac237e) | fichier: /srv/import/301/Fac_301_00413908.LC | 2 lignes formatées | 1 lignes en erreurs | 1 lignes crées | 0 lignes mises à jour | 0 lignes supprimées | 2026-04-08 12:20:00,714 fichier present: (['Fac_301_00413930.LC'] - delivery) dans /srv/import/301/ | 2026-04-08 12:20:00,716 2 lignes lu dans le fichier /srv/import/301/Fac_301_00413930.LC | 2026-04-08 12:20:00,716 lancement intégration: (c1374a0f-9428-4022-bdc7-14c09e8e3dcc) | 2026-04-08 12:20:00,814 {'product': [ErrorDetail(string=""PALETTE APAL  80*120 n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100514060PALETTE APAL  80*120               00000995500000100000001000000000010000001049138000010490000 2001005140607 00000000000009955003911188] | 2026-04-08 12:20:00,819 fin intégration: (c1374a0f-9428-4022-bdc7-14c09e8e3dcc) | fichier: /srv/import/301/Fac_301_00413930.LC | 2 lignes formatées | 1 lignes en erreurs | 1 lignes crées | 0 lignes mises à jour | 0 lignes supprimées";301;S2P SOCOCE ZONE 3
pos12;POS 12;2026-04-09T18:56:39.913284+00:00;32a0fa25-b610-47be-9b6d-abb4ebac237e;2026-04-08T12:19:00.714869;2026-04-08T12:19:00.838437;30;import de données;delivery;livraison;0;erreur;interne;"Extrait du rapport d'import: | 0 lignes mises à jour | 0 lignes supprimées | 2026-04-08 12:18:00,728 fichier present: (['Fac_301_00413930.LC', 'Fac_301_00413904.LC', 'Fac_301_00413908.LC'] - delivery) dans /srv/import/301/ | 2026-04-08 12:18:00,729 5 lignes lu dans le fichier /srv/import/301/Fac_301_00413904.LC | 2026-04-08 12:18:00,730 lancement intégration: (18188b3f-592c-42d4-b6f5-264065181e61) | 2026-04-08 12:18:00,827 {'product': [ErrorDetail(string=""BAC PRELOG PLIABL30L 600*400*165 PM n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100153729BAC PRELOG PLIABL30L 600*400*165 PM00000436070000100000034000000000340000001172366300011725000 2001001537296 00000000000004360703910948] | 2026-04-08 12:18:00,848 {'product': [ErrorDetail(string=""BAC PRELOG PLIABL600*400*235 47L GM n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100239401BAC PRELOG PLIABL600*400*235 47L GM00000436070000200000004000000000040000001409274000014095000 2001002394010 00000000000004360703910948] | 2026-04-08 12:18:00,870 {'product': [ErrorDetail(string=""PALETTE APAL  80*120 n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100514060PALETTE APAL  80*120               00000436070000300000003000000000030000001049138000010490000 2001005140607 00000000000004360703910948] | 2026-04-08 12:18:00,891 {'product': [ErrorDetail(string=""BAC PRELOG600*400*165 RGE 30L PM n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100533538BAC PRELOG600*400*165 RGE 30L PM   00000436070000400000002000000000020000001114392000011145000 2001005335386 00000000000004360703910948] | 2026-04-08 12:18:00,895 fin intégration: (18188b3f-592c-42d4-b6f5-264065181e61) | fichier: /srv/import/301/Fac_301_00413904.LC | 5 lignes formatées | 4 lignes en erreurs | 1 lignes crées | 0 lignes mises à jour | 0 lignes supprimées | 2026-04-08 12:19:00,712 fichier present: (['Fac_301_00413930.LC', 'Fac_301_00413908.LC'] - delivery) dans /srv/import/301/ | 2026-04-08 12:19:00,714 2 lignes lu dans le fichier /srv/import/301/Fac_301_00413908.LC | 2026-04-08 12:19:00,714 lancement intégration: (32a0fa25-b610-47be-9b6d-abb4ebac237e) | 2026-04-08 12:19:00,804 {'product': [ErrorDetail(string=""PALETTE APAL  80*120 n'est pas fourni par le fournisseur FOURNISSEUR CENTRALE"", code='invalid')]} - [L100514060PALETTE APAL  80*120               00000174860000100000001000000000010000001049138000010490000 2001005140607 00000000000001748603910986] | 2026-04-08 12:19:00,808 fin intégration: (32a0fa25-b610-47be-9b6d-abb4ebac237e) | fichier: /srv/import/301/Fac_301_00413908.LC | 2 lignes formatées | 1 lignes en erreurs | 1 lignes crées | 0 lignes mises à jour | 0 lignes supprimées";301;S2P SOCOCE ZONE 3
